feature,best_side,indval,p_perm,fish_score,algae_score,fish_specificity,algae_specificity,fish_fidelity,algae_fidelity,mean_fish,mean_algae,feature_type,p_bh,sig_bh
wrasses,fish,68.75923190546528,0.0033333333333333335,68.75923190546528,31.240768094534708,0.6875923190546529,0.3124076809453471,1.0,1.0,5.444444444444445,2.473684210526316,unspecific,0.04,True
large ovals,fish,78.28134196586227,0.013333333333333334,78.28134196586227,21.71865803413773,0.7828134196586227,0.21718658034137728,1.0,1.0,15.555555555555555,4.315789473684211,unspecific,0.08,False
silvery,fish,59.3634055848467,0.03666666666666667,59.3634055848467,15.733974655443529,0.6678383128295254,0.3321616871704745,0.8888888888888888,0.47368421052631576,2.2222222222222223,1.105263157894737,unspecific,0.14666666666666667,False
heavy bodies/large lips,fish,59.2823712948518,0.05,59.2823712948518,40.71762870514821,0.592823712948518,0.40717628705148207,1.0,1.0,2.2222222222222223,1.5263157894736843,unspecific,0.15000000000000002,False
elongate sand & burrow dwellers,fish,28.33706189410887,0.3333333333333333,28.33706189410887,9.537265983751324,0.6375838926174496,0.3624161073825503,0.4444444444444444,0.2631578947368421,0.5555555555555556,0.3157894736842105,unspecific,0.8,False
odd-shaped swimmers,fish,54.767184035476724,0.49666666666666665,54.767184035476724,45.23281596452329,0.5476718403547672,0.4523281596452329,1.0,1.0,4.333333333333333,3.5789473684210527,unspecific,0.8109090909090909,False
parrotfishes,algae,61.12929623567922,0.5766666666666667,38.870703764320794,61.12929623567922,0.3887070376432079,0.6112929623567922,1.0,1.0,8.333333333333334,13.105263157894736,unspecific,0.8109090909090909,False
sloping heads,algae,53.69449682839019,0.6933333333333334,43.32247557003257,53.69449682839019,0.43322475570032576,0.5667752442996743,1.0,0.9473684210526315,2.3333333333333335,3.0526315789473686,unspecific,0.8109090909090909,False
small ovals - damselfishes,fish,52.33193194766413,0.7166666666666667,52.33193194766413,47.66806805233586,0.5233193194766413,0.4766806805233586,1.0,1.0,77.88888888888889,70.94736842105263,unspecific,0.8109090909090909,False
blennies,fish,37.924151696606785,0.7366666666666667,37.924151696606785,29.49889694295619,0.5688622754491018,0.43113772455089816,0.6666666666666666,0.6842105263157895,1.1111111111111112,0.8421052631578947,unspecific,0.8109090909090909,False
disk-shaped/colourful,algae,51.33876600698486,0.7433333333333333,48.66123399301513,51.33876600698486,0.4866123399301513,0.5133876600698486,1.0,1.0,2.4444444444444446,2.5789473684210527,unspecific,0.8109090909090909,False
reddish/big eyes,algae,32.588638078105966,0.9133333333333333,29.094695577606277,32.588638078105966,0.523704520396913,0.4762954796030871,0.5555555555555556,0.6842105263157895,2.7777777777777777,2.526315789473684,unspecific,0.9133333333333334,False
