filename,date,standort,koeder,is_control_short,duration_sec_non_behavior,species_richness,family_richness,general_richness,total_non_behavior_annotations,shannon_species,median_first_seen_species_sec,q25_first_seen_species_sec,median_first_seen_family_sec,sum_species_maxn,sum_family_maxn,peak_species_maxn,peak_family_maxn,total_feeding_events,total_interested_events,feeding_unique_species,feeding_unique_family,interested_unique_species,interested_unique_family,feeding_ratio_total,interested_ratio_total,species_maxn_by_taxon,family_maxn_by_taxon,feeding_species_by_taxon,feeding_family_by_taxon,interested_species_by_taxon,interested_family_by_taxon
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,False,2195.581182,31,18,41,224,2.5651988266715904,396.647063,141.3739185,145.0795005,110.0,104.0,23.0,23.0,0,0,0,0,0,0,0.0,0.0,"{'false-eye (abudefduf sparoides)': 1, 'longbarbel (parupeneus macronemus)': 5, 'humpback (lutjanus gibbus)': 21, 'paletail unicorn (naso brevirostris)': 23, 'threespot dascyllus (dascyllus trimaculatus)': 6, 'arabian monocle (scolopsis ghanam)': 10, 'bullethead (chlorurus sordidus)': 4, 'queen (coris formosa)': 1, 'rockmover (novaculichthys taeniourus)': 1, 'threadfin (chaetodon auriga)': 1, 'scissortail sergeant (abudefduf sexfasciatus)': 5, 'blackwhite (macolor niger)': 1, 'sailfin tang (zebrasoma desjardinii)': 3, 'yellow-margin (gymnothorax flavimarginatus)': 1, 'black-backed (chaetodon melannotus)': 2, 'checkerboard (halichoeres hortulanus)': 1, 'speckled (parapercis hexophthalma)': 1, 'monk (acanthurus gahhm)': 4, 'honeycomb (siganus stellatus)': 4, ""weber's puller (chromis weberi)"": 2, 'scrawled (aluterus scriptus)': 1, 'titan (balistoides viridescens)': 1, 'moorish idol (zanclus cornutus)': 1, 'linedcheeked (oxycheilinus digramma)': 1, 'raccoon (chaetodon lunula)': 1, 'emperor (pomacanthus imperator)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'yellowhead (chaetodon xanthocephalus)': 1, 'map (arothron mappa)': 1, 'blue barred (scarus ghobban)': 3, 'goldsaddle (parupeneus cyclostomus)': 1}","{'pomacentridae': 6, 'mullidae': 5, 'carangidae': 2, 'lutjanidae': 21, 'acanthuridae': 23, 'caesionidae': 10, 'nemipteridae': 10, 'scaridae': 13, 'labridae': 1, 'chaetodontidae': 2, 'muraenidae': 1, 'pinguipedidae': 1, 'siganidae': 4, 'monacanthidae': 1, 'balistidae': 1, 'zanclidae': 1, 'pomacanthidae': 1, 'tetraodontidae': 1}",{},{},{},{}
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,False,2660.440882,29,17,34,204,2.775340145208239,174.705638,20.292315,305.633595,104.0,94.0,14.0,14.0,0,0,0,0,0,0,0.0,0.0,"{'arabian monocle (scolopsis ghanam)': 8, 'threespot dascyllus (dascyllus trimaculatus)': 9, 'bullethead (chlorurus sordidus)': 1, ""weber's puller (chromis weberi)"": 4, 'paletail unicorn (naso brevirostris)': 14, 'humpback (lutjanus gibbus)': 13, 'blackwhite (macolor niger)': 1, 'monk (acanthurus gahhm)': 2, 'longbarbel (parupeneus macronemus)': 7, 'sailfin tang (zebrasoma desjardinii)': 3, 'threadfin (chaetodon auriga)': 3, 'blue barred (scarus ghobban)': 5, 'black-backed (chaetodon melannotus)': 10, 'scissortail sergeant (abudefduf sexfasciatus)': 1, 'yellow-margin (gymnothorax flavimarginatus)': 2, 'moon (thalassoma lunare)': 1, 'halfmoon (sufflamen chrysopterum)': 1, 'red-breasted (cheilinus fasciatus)': 2, 'yellowhead (chaetodon xanthocephalus)': 2, 'moorish idol (zanclus cornutus)': 2, 'lined bristletooth (ctenochaetus striatus)': 2, 'raccoon (chaetodon lunula)': 1, 'false-eye (abudefduf sparoides)': 1, 'spotted (diodon hystrix)': 1, 'brown pigmy (centropyge multispinis)': 1, 'brown tang (zebrasoma scopas)': 1, 'titan (balistoides viridescens)': 2, 'honeycomb (siganus stellatus)': 2, 'blackspot (lutjanus fulviflamma)': 2}","{'nemipteridae': 8, 'pomacentridae': 9, 'scaridae': 14, 'acanthuridae': 14, 'lutjanidae': 13, 'mullidae': 7, 'chaetodontidae': 10, 'muraenidae': 2, 'labridae': 2, 'balistidae': 2, 'carangidae': 2, 'caesionidae': 4, 'zanclidae': 2, 'diodontidae': 1, 'pomacanthidae': 1, 'fistulariidae': 1, 'siganidae': 2}",{},{},{},{}
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,False,2629.131176,29,18,36,168,2.535660065223602,252.4745,38.248217,178.3157665,101.0,91.0,23.0,23.0,0,0,0,0,0,0,0.0,0.0,"{'longbarbel (parupeneus macronemus)': 5, 'humpback (lutjanus gibbus)': 20, 'paletail unicorn (naso brevirostris)': 23, 'arabian monocle (scolopsis ghanam)': 8, 'blue barred (scarus ghobban)': 4, 'sailfin tang (zebrasoma desjardinii)': 2, 'threadfin (chaetodon auriga)': 1, 'moon (thalassoma lunare)': 1, 'blackwhite (macolor niger)': 1, 'moorish idol (zanclus cornutus)': 2, 'red-breasted (cheilinus fasciatus)': 1, 'bullethead (chlorurus sordidus)': 1, 'yellow-margin (gymnothorax flavimarginatus)': 1, 'threespot dascyllus (dascyllus trimaculatus)': 5, 'monk (acanthurus gahhm)': 2, ""weber's puller (chromis weberi)"": 1, 'yellowstripe (mulloidichthys flavolineatus)': 5, 'trumpetfish (aulostomus chinensis)': 1, 'yellowhead (chaetodon xanthocephalus)': 2, 'lined bristletooth (ctenochaetus striatus)': 2, 'titan (balistoides viridescens)': 1, 'halfmoon (sufflamen chrysopterum)': 1, 'honeycomb (siganus stellatus)': 4, 'longnose (lethrinus olivaceus)': 2, 'black-backed (chaetodon melannotus)': 1, 'indian redfin (chaetodon trifasciatus)': 1, 'thumbprint (lethrinus harak)': 1, 'map (arothron mappa)': 1, 'blackspot (lutjanus fulviflamma)': 1}","{'mullidae': 5, 'lutjanidae': 20, 'acanthuridae': 23, 'nemipteridae': 8, 'scaridae': 6, 'chaetodontidae': 2, 'labridae': 1, 'zanclidae': 2, 'muraenidae': 1, 'pomacentridae': 5, 'siganidae': 4, 'fistulariidae': 1, 'aulostomidae': 1, 'balistidae': 1, 'caesionidae': 7, 'lethrinidae': 2, 'carangidae': 1, 'tetraodontidae': 1}",{},{},{},{}
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,False,2777.1549682,35,19,43,420,2.1774433643563835,344.1550334,43.4014802,110.3062107,174.0,157.0,43.0,43.0,0,0,0,0,0,0,0.0,0.0,"{'threadfin (chaetodon auriga)': 4, 'moorish idol (zanclus cornutus)': 4, 'sailfin tang (zebrasoma desjardinii)': 3, 'longbarbel (parupeneus macronemus)': 4, 'false-eye (abudefduf sparoides)': 1, 'threespot dascyllus (dascyllus trimaculatus)': 13, 'humpback (lutjanus gibbus)': 43, 'moon (thalassoma lunare)': 1, 'paletail unicorn (naso brevirostris)': 40, 'yellowmargin (pseudobalistes flavimarginatus)': 6, ""weber's puller (chromis weberi)"": 1, 'indian redfin (chaetodon trifasciatus)': 1, 'speckled (parapercis hexophthalma)': 1, 'arabian monocle (scolopsis ghanam)': 10, 'black-backed (chaetodon melannotus)': 8, 'monk (acanthurus gahhm)': 2, 'bicolor (labroides bicolor)': 1, 'honeycomb (siganus stellatus)': 4, 'emperor (pomacanthus imperator)': 2, 'yellowhead (chaetodon xanthocephalus)': 1, 'titan (balistoides viridescens)': 1, 'indian longnose (hipposcarus harid)': 3, 'yellowstripe (mulloidichthys flavolineatus)': 4, 'scissortail sergeant (abudefduf sexfasciatus)': 2, 'blue barred (scarus ghobban)': 1, 'trumpetfish (aulostomus chinensis)': 2, 'goldbar (thalassoma hebraicum)': 1, 'brown tang (zebrasoma scopas)': 1, 'lined bristletooth (ctenochaetus striatus)': 3, 'scrawled (aluterus scriptus)': 1, 'halfmoon (sufflamen chrysopterum)': 1, 'raccoon (chaetodon lunula)': 1, 'blackwhite (macolor niger)': 1, 'queen (coris formosa)': 1, 'blackspot (lutjanus fulviflamma)': 1}","{'chaetodontidae': 8, 'zanclidae': 4, 'acanthuridae': 40, 'mullidae': 4, 'pomacentridae': 13, 'lutjanidae': 43, 'labridae': 1, 'balistidae': 6, 'scaridae': 3, 'pinguipedidae': 1, 'nemipteridae': 10, 'siganidae': 4, 'pomacanthidae': 2, 'fistulariidae': 4, 'aulostomidae': 2, 'carangidae': 1, 'caesionidae': 9, 'serranidae': 1, 'monacanthidae': 1}",{},{},{},{}
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,False,2554.883303,32,20,42,303,2.2123667785084993,214.60493330000003,51.558090375,135.3245092,158.0,146.0,45.0,45.0,0,0,0,0,0,0,0.0,0.0,"{'threespot dascyllus (dascyllus trimaculatus)': 8, 'threadfin (chaetodon auriga)': 3, 'moon (thalassoma lunare)': 1, 'scissortail sergeant (abudefduf sexfasciatus)': 3, 'arabian monocle (scolopsis ghanam)': 20, 'paletail unicorn (naso brevirostris)': 32, 'humpback (lutjanus gibbus)': 45, 'longbarbel (parupeneus macronemus)': 2, 'indian redfin (chaetodon trifasciatus)': 2, 'moorish idol (zanclus cornutus)': 1, 'false-eye (abudefduf sparoides)': 1, 'sailfin tang (zebrasoma desjardinii)': 2, 'black saddled toby (canthigaster valentini)': 1, 'yellowstripe (mulloidichthys flavolineatus)': 6, 'titan (balistoides viridescens)': 4, 'black-backed (chaetodon melannotus)': 1, 'spotted (diodon hystrix)': 1, 'raccoon (chaetodon lunula)': 1, 'redmouth (aethaloperca rogaa)': 1, 'blue barred (scarus ghobban)': 2, 'honeycomb (siganus stellatus)': 4, 'monk (acanthurus gahhm)': 2, 'bird wrasse (gomphosus caeruleus)': 1, 'speckled (parapercis hexophthalma)': 1, 'bluefin (caranx melampygus)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'scrawled (aluterus scriptus)': 1, 'yellow-margin (gymnothorax flavimarginatus)': 1, 'brown tang (zebrasoma scopas)': 1, 'queen (coris formosa)': 1, 'blackwhite (macolor niger)': 1, 'blackspot (lutjanus fulviflamma)': 6}","{'pomacentridae': 8, 'chaetodontidae': 3, 'labridae': 1, 'nemipteridae': 20, 'acanthuridae': 32, 'lutjanidae': 45, 'scaridae': 3, 'mullidae': 6, 'carangidae': 1, 'zanclidae': 1, 'tetraodontidae': 1, 'balistidae': 4, 'diodontidae': 1, 'serranidae': 1, 'siganidae': 7, 'fistulariidae': 2, 'pinguipedidae': 1, 'caesionidae': 7, 'monacanthidae': 1, 'muraenidae': 1}",{},{},{},{}
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,False,2236.742633,26,17,34,201,2.3331879743333714,216.7042975,95.19913225,302.283188,107.0,97.0,21.0,21.0,0,0,0,0,0,0,0.0,0.0,"{'threespot dascyllus (dascyllus trimaculatus)': 4, 'paletail unicorn (naso brevirostris)': 21, 'false-eye (abudefduf sparoides)': 1, 'humpback (lutjanus gibbus)': 20, 'longbarbel (parupeneus macronemus)': 2, 'blue barred (scarus ghobban)': 3, 'moon (thalassoma lunare)': 2, 'monk (acanthurus gahhm)': 2, 'sailfin tang (zebrasoma desjardinii)': 2, 'brown tang (zebrasoma scopas)': 1, 'black-backed (chaetodon melannotus)': 4, 'scissortail sergeant (abudefduf sexfasciatus)': 1, 'threadfin (chaetodon auriga)': 1, 'arabian monocle (scolopsis ghanam)': 12, 'yellow-margin (gymnothorax flavimarginatus)': 2, 'moorish idol (zanclus cornutus)': 7, 'lined bristletooth (ctenochaetus striatus)': 2, 'mahsena (lethrinus mahsena)': 1, 'honeycomb (siganus stellatus)': 4, 'trumpetfish (aulostomus chinensis)': 1, 'yellowstripe (mulloidichthys flavolineatus)': 3, 'longnose (lethrinus olivaceus)': 1, 'yellowhead (chaetodon xanthocephalus)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'map (arothron mappa)': 2, 'blackspot (lutjanus fulviflamma)': 6}","{'pomacentridae': 4, 'acanthuridae': 21, 'lutjanidae': 20, 'scaridae': 8, 'mullidae': 3, 'labridae': 2, 'chaetodontidae': 4, 'nemipteridae': 12, 'siganidae': 4, 'muraenidae': 2, 'carangidae': 2, 'zanclidae': 7, 'caesionidae': 1, 'aulostomidae': 1, 'lethrinidae': 1, 'tetraodontidae': 2, 'balistidae': 3}",{},{},{},{}
20240108-nursery-control.csv,20240108,nursery,control,True,531.380934,20,17,29,69,2.4289530574239886,185.84429599999999,128.15053275,149.614126,36.0,34.0,8.0,8.0,0,0,0,0,0,0,0.0,0.0,"{'humpnose bigeye (monotaxis grandoculis)': 2, 'moon (thalassoma lunare)': 1, 'monk (acanthurus gahhm)': 8, 'peacock damsel (pomacentrus pavo)': 2, 'humpback (lutjanus gibbus)': 1, 'bullethead (chlorurus sordidus)': 1, 'lined bristletooth (ctenochaetus striatus)': 4, 'arabian monocle (scolopsis ghanam)': 1, 'sailfin tang (zebrasoma desjardinii)': 3, 'threespot dascyllus (dascyllus trimaculatus)': 1, 'speckled (parapercis hexophthalma)': 2, 'threadfin (chaetodon auriga)': 1, 'red (lutjanus bohar)': 1, 'wirenet (cantherhines pardalis)': 1, 'brassy trevally (caranx papuensis)': 1, 'blackwhite (macolor niger)': 1, 'red-breasted (cheilinus fasciatus)': 1, 'longbarbel (parupeneus macronemus)': 2, 'titan (balistoides viridescens)': 1, 'disappearing (pseudocheilinus evanidus)': 1}","{'lethrinidae': 2, 'labridae': 1, 'acanthuridae': 8, 'lutjanidae': 1, 'pomacentridae': 2, 'caesionidae': 1, 'scaridae': 1, 'carangidae': 6, 'nemipteridae': 1, 'blenniidae': 1, 'pinguipedidae': 2, 'chaetodontidae': 1, 'monacanthidae': 1, 'ephippidae': 1, 'mullidae': 2, 'balistidae': 1, 'tetraodontidae': 2}",{},{},{},{}
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,False,528.83204,25,15,29,103,2.7961076054788996,208.487671,145.785099,145.785099,56.0,49.0,7.0,7.0,4,0,2,2,0,0,0.037383177570093455,0.0,"{'moon (thalassoma lunare)': 4, 'lined bristletooth (ctenochaetus striatus)': 5, 'peacock damsel (pomacentrus pavo)': 5, 'brassy trevally (caranx papuensis)': 7, 'speckled (parapercis hexophthalma)': 4, 'longnose (lethrinus olivaceus)': 2, 'humpnose bigeye (monotaxis grandoculis)': 2, 'blue-streak (labroides dimidiatus)': 1, 'blackwhite (macolor niger)': 1, 'sailfin tang (zebrasoma desjardinii)': 1, 'humpback (lutjanus gibbus)': 5, 'paletail unicorn (naso brevirostris)': 1, 'threespot dascyllus (dascyllus trimaculatus)': 2, 'threadfin (chaetodon auriga)': 1, 'monk (acanthurus gahhm)': 1, 'black saddled toby (canthigaster valentini)': 1, 'mozambique fangblenny (meiacanthus mossambicus)': 1, 'red (lutjanus bohar)': 1, 'disappearing (pseudocheilinus evanidus)': 2, 'emperor (pomacanthus imperator)': 2, 'longbarbel (parupeneus macronemus)': 1, 'sixbar (thalassoma hardwicke)': 1, 'arabian monocle (scolopsis ghanam)': 2, 'titan (balistoides viridescens)': 2, 'snubnose (lethrinus borbonicus)': 1}","{'pomacentridae': 5, 'labridae': 4, 'acanthuridae': 5, 'carangidae': 7, 'pinguipedidae': 4, 'lethrinidae': 2, 'lutjanidae': 5, 'chaetodontidae': 1, 'blenniidae': 1, 'tetraodontidae': 2, 'pomacanthidae': 2, 'mullidae': 1, 'scaridae': 6, 'nemipteridae': 2, 'balistidae': 2}","{'longnose (lethrinus olivaceus)': 1, 'humpback (lutjanus gibbus)': 3}","{'lethrinidae': 1, 'lutjanidae': 3}",{},{}
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,False,523.079321,27,15,34,211,2.479919161730799,119.500002,16.575301500000002,25.262454,89.0,81.0,18.0,18.0,0,0,0,0,0,0,0.0,0.0,"{'longfin banner (heniochus acuminatus)': 2, 'false-eye (abudefduf sparoides)': 1, 'black-lipped (chaetodon kleinii)': 5, 'threespot dascyllus (dascyllus trimaculatus)': 13, 'speckled (parapercis hexophthalma)': 3, 'humpnose bigeye (monotaxis grandoculis)': 2, 'green (amblyglyphidodon indicus)': 4, 'moon (thalassoma lunare)': 11, 'humpback (lutjanus gibbus)': 18, 'red (lutjanus bohar)': 2, 'monk (acanthurus gahhm)': 3, 'blue barred (scarus ghobban)': 1, 'coral (cephalopholis miniata)': 2, 'threadfin (chaetodon auriga)': 2, 'longbarbel (parupeneus macronemus)': 4, 'lined bristletooth (ctenochaetus striatus)': 2, 'paletail unicorn (naso brevirostris)': 2, 'moorish idol (zanclus cornutus)': 1, 'emperor (pomacanthus imperator)': 1, 'snubnose (lethrinus borbonicus)': 1, 'yellowhead (chaetodon xanthocephalus)': 1, 'blue-streak (labroides dimidiatus)': 1, 'blackwhite (macolor niger)': 1, 'saddleback (chaetodon falcula)': 1, 'black-backed (chaetodon melannotus)': 2, 'indian redfin (chaetodon trifasciatus)': 2, 'titan (balistoides viridescens)': 1}","{'chaetodontidae': 5, 'pomacentridae': 13, 'caesionidae': 7, 'pinguipedidae': 3, 'lethrinidae': 2, 'labridae': 11, 'lutjanidae': 18, 'serranidae': 3, 'acanthuridae': 3, 'scaridae': 3, 'mullidae': 4, 'zanclidae': 1, 'pomacanthidae': 1, 'fistulariidae': 6, 'balistidae': 1}",{},{},{},{}
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,False,660.011122,35,17,41,361,2.6361868936606556,121.159542,45.560622499999994,44.27963,157.0,112.0,30.0,30.0,0,0,0,0,0,0,0.0,0.0,"{'arabian monocle (scolopsis ghanam)': 6, 'threespot dascyllus (dascyllus trimaculatus)': 20, 'longbarbel (parupeneus macronemus)': 6, 'humpnose bigeye (monotaxis grandoculis)': 1, 'moon (thalassoma lunare)': 1, 'humpback (lutjanus gibbus)': 30, 'speckled (parapercis hexophthalma)': 1, 'sidespot (parupeneus pleurostigma)': 8, 'green (amblyglyphidodon indicus)': 2, 'blackspot (lutjanus fulviflamma)': 19, 'false-eye (abudefduf sparoides)': 1, 'paletail unicorn (naso brevirostris)': 10, 'blackwhite (macolor niger)': 1, 'black-backed (chaetodon melannotus)': 3, 'black-lipped (chaetodon kleinii)': 1, 'threadfin (chaetodon auriga)': 4, 'moorish idol (zanclus cornutus)': 8, 'queen (coris formosa)': 1, 'thumbprint (lethrinus harak)': 2, 'honeycomb (siganus stellatus)': 5, 'longfin banner (heniochus acuminatus)': 1, 'monk (acanthurus gahhm)': 2, 'yellowhead (chaetodon xanthocephalus)': 4, 'raccoon (chaetodon lunula)': 1, 'black saddled toby (canthigaster valentini)': 1, 'saddleback (chaetodon falcula)': 1, 'scissortail sergeant (abudefduf sexfasciatus)': 3, 'blackspot feeding (lutjanus fulviflamma)': 6, 'indian redfin (chaetodon trifasciatus)': 2, 'snubnose (lethrinus borbonicus)': 1, 'blue-streak (labroides dimidiatus)': 1, 'bluefin (caranx melampygus)': 1, 'redmouth (aethaloperca rogaa)': 1, 'mahsena (lethrinus mahsena)': 1, 'red-breasted (cheilinus fasciatus)': 1}","{'nemipteridae': 6, 'pomacentridae': 20, 'mullidae': 8, 'lethrinidae': 2, 'labridae': 1, 'lutjanidae': 30, 'pinguipedidae': 1, 'scaridae': 11, 'acanthuridae': 10, 'chaetodontidae': 5, 'fistulariidae': 1, 'zanclidae': 8, 'siganidae': 5, 'carangidae': 1, 'tetraodontidae': 1, 'serranidae': 1, 'aulostomidae': 1}",{},{},{},{}
